임신부터 출산 후 24개월까지 — 전체 콘텐츠 인벤토리,,,,,,,,,,,,,,,,,,,,,,,,,,
한 행은 하나의 정보 또는 행동 단위입니다. 필터로 시기·주제·유형·행동 단계·대상·중요도를 조합해 검토하세요. 의료·행정 내용은 공식 출처 확인 후 사용하세요.,,,,,,,,,,,,,,,,,,,,,,,,,,
번호,대시기,세부 시기,시점 기준,시작 값,종료 값,단위,주제,세부 주제,태그,콘텐츠 유형,행동 단계,대상,제목,요약,왜 필요한가,어떻게 하는가,중요도,체크 가능,개인화 조건,관련 항목,공식 출처,출처 상태,검토 상태,예상 비용,바우처 사용 가능,메모
63,임신 중기,22~27주,임신 주차,22,27,주,검사·진료,임신성 당뇨·빈혈,,검사·진료,실행,산모,임신성 당뇨검사 일정과 준비사항 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,임신성 당뇨검사 일정과 준비사항 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
64,임신 중기,22~27주,임신 주차,22,27,주,검사·진료,임신성 당뇨·빈혈,,검사·진료,실행,산모,빈혈검사와 철분 복용 상담,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,빈혈검사와 철분 복용 상담,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
65,임신 중기,22~27주,임신 주차,22,27,주,검사·진료,임신성 당뇨·빈혈,,검사·진료,실행,산모,검사 결과와 추가 관리 계획 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,검사 결과와 추가 관리 계획 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
66,임신 중기,22~27주,임신 주차,22,27,주,산모 건강·회복,임신 중기 변화,,증상·변화,알아보기,산모,허리통증과 골반 불편,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,허리통증과 골반 불편,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
67,임신 중기,22~27주,임신 주차,22,27,주,산모 건강·회복,임신 중기 변화,,증상·변화,알아보기,산모,가벼운 부종,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,가벼운 부종,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
68,임신 중기,22~27주,임신 주차,22,27,주,산모 건강·회복,임신 중기 변화,,증상·변화,알아보기,산모,속쓰림과 수면 불편,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,속쓰림과 수면 불편,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
69,임신 중기,22~27주,임신 주차,22,27,주,산모 건강·회복,위험 신호,,병원 확인 신호,실행,산모·아기,질출혈 또는 양수 의심,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,질출혈 또는 양수 의심,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
70,임신 중기,22~27주,임신 주차,22,27,주,산모 건강·회복,위험 신호,,병원 확인 신호,실행,산모·아기,37주 이전 규칙적 수축,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,37주 이전 규칙적 수축,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
71,임신 중기,22~27주,임신 주차,22,27,주,산모 건강·회복,위험 신호,,병원 확인 신호,실행,산모·아기,갑작스러운 부종·심한 두통·시야 이상,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,갑작스러운 부종·심한 두통·시야 이상,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
72,임신 중기,22~27주,임신 주차,22,27,주,병원·조리원·돌봄 서비스,산후조리원,,할 일,비교·결정,부부,조리원 후보와 이동 동선 비교,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,조리원 이용,조리원 후보와 이동 동선 비교,,병원·기관 확인 필요,초안,,,
73,임신 중기,22~27주,임신 주차,22,27,주,병원·조리원·돌봄 서비스,산후조리원,,할 일,비교·결정,부부,계약·환불·입소 조건 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,조리원 이용,계약·환불·입소 조건 확인,,병원·기관 확인 필요,초안,,,
74,임신 중기,22~27주,임신 주차,22,27,주,병원·조리원·돌봄 서비스,산후조리원,,할 일,비교·결정,부부,산모·신생아 돌봄과 감염관리 질문 정리,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,조리원 이용,산모·신생아 돌봄과 감염관리 질문 정리,https://www.bokjiro.go.kr/,공식 출처 확인 필요,초안,,,
75,임신 중기,22~27주,임신 주차,22,27,주,육아용품,수유용품,,가이드,알아보기,부부,수유 계획별 필요한 용품 범위 알아보기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,수유 계획별 필요한 용품 범위 알아보기,,편집 검토 필요,초안,,,
76,임신 중기,22~27주,임신 주차,22,27,주,육아용품,수유용품,,가이드,알아보기,부부,젖병·젖꼭지 구매 수량을 과도하게 확정하지 않기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,젖병·젖꼭지 구매 수량을 과도하게 확정하지 않기,,편집 검토 필요,초안,,,
77,임신 후기,28~30주,임신 주차,28,30,주,검사·진료,후기 진료,,검사·진료,실행,산모·아기,후기 진료 주기 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,후기 진료 주기 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
78,임신 후기,28~30주,임신 주차,28,30,주,검사·진료,후기 진료,,검사·진료,실행,산모·아기,태아 성장과 위치 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,태아 성장과 위치 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
79,임신 후기,28~30주,임신 주차,28,30,주,검사·진료,후기 진료,,검사·진료,실행,산모·아기,예방접종 및 검사 일정 의료진과 상담,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,예방접종 및 검사 일정 의료진과 상담,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
80,임신 후기,28~30주,임신 주차,28,30,주,출산 준비,출산 방법,,가이드,알아보기,부부,자연분만의 일반적인 과정 이해,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,자연분만의 일반적인 과정 이해,,편집 검토 필요,초안,,,
81,임신 후기,28~30주,임신 주차,28,30,주,출산 준비,출산 방법,,가이드,알아보기,부부,유도분만의 일반적인 과정 이해,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,유도분만의 일반적인 과정 이해,,편집 검토 필요,초안,,,
82,임신 후기,28~30주,임신 주차,28,30,주,출산 준비,출산 방법,,가이드,알아보기,부부,제왕절개의 일반적인 과정과 회복 이해,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,제왕절개의 일반적인 과정과 회복 이해,,편집 검토 필요,초안,,,
83,임신 후기,28~30주,임신 주차,28,30,주,보호자·부부 역할,출산 계획,,할 일,비교·결정,부부,출산 중 원하는 지원 방식 대화,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,출산 중 원하는 지원 방식 대화,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
84,임신 후기,28~30주,임신 주차,28,30,주,보호자·부부 역할,출산 계획,,할 일,비교·결정,부부,사진·영상·가족 연락 선호 정하기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,사진·영상·가족 연락 선호 정하기,,편집 검토 필요,초안,,,
85,임신 후기,28~30주,임신 주차,28,30,주,보호자·부부 역할,출산 계획,,할 일,비교·결정,부부,계획 변경 가능성과 의사결정 방식 대화,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,계획 변경 가능성과 의사결정 방식 대화,,편집 검토 필요,초안,,,
86,임신 후기,28~30주,임신 주차,28,30,주,육아용품,아기 의류,,육아용품,준비,부부,계절에 맞는 신생아 의류 범위 확인,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,계절에 맞는 신생아 의류 범위 확인,,편집 검토 필요,초안,,,
87,임신 후기,28~30주,임신 주차,28,30,주,육아용품,아기 의류,,육아용품,준비,부부,퇴원복 준비 여부 확인,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,퇴원복 준비 여부 확인,,편집 검토 필요,초안,,,
88,임신 후기,28~30주,임신 주차,28,30,주,임신 생활·영양·운동,만삭사진,,가이드,비교·결정,부부,만삭사진 촬영 여부와 시기 결정,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,선택,예,공통,만삭사진 촬영 여부와 시기 결정,,편집 검토 필요,초안,,,
89,임신 후기,28~30주,임신 주차,28,30,주,임신 생활·영양·운동,만삭사진,,가이드,비교·결정,부부,촬영 비용·의상·취소 조건 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,선택,예,공통,촬영 비용·의상·취소 조건 확인,,편집 검토 필요,초안,업체별 상이,확인 필요,
90,임신 후기,31~33주,임신 주차,31,33,주,검사·진료,태아 성장 확인,,검사·진료,실행,산모·아기,태아 성장·양수·태반 상태 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,태아 성장·양수·태반 상태 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
91,임신 후기,31~33주,임신 주차,31,33,주,검사·진료,태아 성장 확인,,검사·진료,실행,산모·아기,필요 시 태아안녕평가 일정 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,필요 시 태아안녕평가 일정 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
92,임신 후기,31~33주,임신 주차,31,33,주,출산 준비,출산가방,,준비 목록,준비,부부,병원 제공품 목록 받기,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,병원 제공품 목록 받기,,편집 검토 필요,초안,,,
93,임신 후기,31~33주,임신 주차,31,33,주,출산 준비,출산가방,,준비 목록,준비,부부,산모용 출산가방 목록 만들기,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,산모용 출산가방 목록 만들기,,편집 검토 필요,초안,,,
94,임신 후기,31~33주,임신 주차,31,33,주,출산 준비,출산가방,,준비 목록,준비,부부,아기용 퇴원 물품 목록 만들기,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,아기용 퇴원 물품 목록 만들기,,편집 검토 필요,초안,,,
95,임신 후기,31~33주,임신 주차,31,33,주,출산 준비,출산가방,,준비 목록,준비,부부,보호자용 물품 목록 만들기,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,보호자용 물품 목록 만들기,,편집 검토 필요,초안,,,
96,임신 후기,31~33주,임신 주차,31,33,주,출산 준비,조리원 가방,,준비 목록,준비,부부,조리원 제공품 목록 받기,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,조리원 이용,조리원 제공품 목록 받기,,편집 검토 필요,초안,,,
97,임신 후기,31~33주,임신 주차,31,33,주,출산 준비,조리원 가방,,준비 목록,준비,부부,조리원 생활용품 목록 만들기,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,조리원 이용,조리원 생활용품 목록 만들기,,편집 검토 필요,초안,,,
98,임신 후기,31~33주,임신 주차,31,33,주,행정·지원 혜택,산모·신생아 건강관리,,할 일,알아보기,부부,산후도우미 지원 대상과 신청 기간 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,산후도우미 지원 대상과 신청 기간 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
99,임신 후기,31~33주,임신 주차,31,33,주,행정·지원 혜택,산모·신생아 건강관리,,할 일,알아보기,부부,거주지 제공기관과 예상 본인부담금 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,거주지 제공기관과 예상 본인부담금 확인,,편집 검토 필요,초안,,,
100,임신 후기,31~33주,임신 주차,31,33,주,보호자·부부 역할,회사 휴가,,할 일,준비,부부,배우자 출산휴가 신청 절차 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,직장인,배우자 출산휴가 신청 절차 확인,,편집 검토 필요,초안,,,
101,임신 후기,31~33주,임신 주차,31,33,주,보호자·부부 역할,회사 휴가,,할 일,준비,부부,업무 인수인계와 비상 연락 범위 정하기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,직장인,업무 인수인계와 비상 연락 범위 정하기,,편집 검토 필요,초안,,,
102,출산 준비,34~36주,임신 주차,34,36,주,검사·진료,막달 검사,,검사·진료,실행,산모·아기,병원 안내에 따른 막달 검사 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,병원 안내에 따른 막달 검사 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
103,출산 준비,34~36주,임신 주차,34,36,주,검사·진료,막달 검사,,검사·진료,실행,산모·아기,태동·태아 상태 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,태동·태아 상태 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
104,출산 준비,34~36주,임신 주차,34,36,주,검사·진료,막달 검사,,검사·진료,실행,산모·아기,필요 시 내진·비수축검사 질문,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,필요 시 내진·비수축검사 질문,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
105,출산 준비,34~36주,임신 주차,34,36,주,출산 준비,입원 사전 확인,,할 일,알아보기,부부,입원 시간과 접수 위치 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,입원 시간과 접수 위치 확인,,편집 검토 필요,초안,,,
106,출산 준비,34~36주,임신 주차,34,36,주,출산 준비,입원 사전 확인,,할 일,알아보기,부부,야간·응급 연락 방법 저장,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,야간·응급 연락 방법 저장,,편집 검토 필요,초안,,,
107,출산 준비,34~36주,임신 주차,34,36,주,출산 준비,입원 사전 확인,,할 일,알아보기,부부,병실 요청 방법 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,병실 요청 방법 확인,,편집 검토 필요,초안,,,
108,출산 준비,34~36주,임신 주차,34,36,주,출산 준비,입원 사전 확인,,할 일,알아보기,부부,보호자 출입·숙박·식사 규정 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,보호자 출입·숙박·식사 규정 확인,,편집 검토 필요,초안,,,
109,출산 준비,34~36주,임신 주차,34,36,주,출산 준비,입원 사전 확인,,할 일,알아보기,부부,주차와 할인 방법 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,주차와 할인 방법 확인,,편집 검토 필요,초안,,,
110,출산 준비,34~36주,임신 주차,34,36,주,출산 준비,출산가방,,준비 목록,준비,부부,신분증과 병원 요청 서류 준비,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,신분증과 병원 요청 서류 준비,,편집 검토 필요,초안,,,
111,출산 준비,34~36주,임신 주차,34,36,주,출산 준비,출산가방,,준비 목록,준비,부부,산모 의류·세면·위생용품 준비,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,산모 의류·세면·위생용품 준비,,편집 검토 필요,초안,,,
112,출산 준비,34~36주,임신 주차,34,36,주,출산 준비,출산가방,,준비 목록,준비,부부,보호자 의류·세면용품 준비,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,보호자 의류·세면용품 준비,,편집 검토 필요,초안,,,
113,출산 준비,34~36주,임신 주차,34,36,주,출산 준비,출산가방,,준비 목록,준비,부부,충전기와 긴 충전선 준비,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,충전기와 긴 충전선 준비,,편집 검토 필요,초안,,,
114,출산 준비,34~36주,임신 주차,34,36,주,출산 준비,출산가방,,준비 목록,준비,부부,아기 퇴원복과 속싸개 준비,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,아기 퇴원복과 속싸개 준비,,편집 검토 필요,초안,,,
115,출산 준비,34~36주,임신 주차,34,36,주,입원·출산 과정,유도분만,,가이드,알아보기,부부,유도분만 진행 순서와 대기 과정 이해,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,유도분만 예정,유도분만 진행 순서와 대기 과정 이해,,병원·기관 확인 필요,초안,,,
116,출산 준비,34~36주,임신 주차,34,36,주,입원·출산 과정,유도분만,,가이드,알아보기,부부,유도분만 중 계획이 변경될 수 있는 상황 질문 정리,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,유도분만 예정,유도분만 중 계획이 변경될 수 있는 상황 질문 정리,,병원·기관 확인 필요,초안,,,
117,출산 준비,34~36주,임신 주차,34,36,주,입원·출산 과정,제왕절개,,가이드,알아보기,부부,제왕절개 전 준비와 보호자 동선 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,제왕절개 예정 또는 가능성 있음,제왕절개 전 준비와 보호자 동선 확인,,병원·기관 확인 필요,초안,,,
118,출산 준비,34~36주,임신 주차,34,36,주,입원·출산 과정,제왕절개,,가이드,알아보기,부부,수술 후 회복·입원·통증조절 질문 정리,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,제왕절개 예정 또는 가능성 있음,수술 후 회복·입원·통증조절 질문 정리,,병원·기관 확인 필요,초안,,,
119,출산 준비,34~36주,임신 주차,34,36,주,병원·조리원·돌봄 서비스,어린이집,,할 일,알아보기,부부,거주지 주변 어린이집 찾아보기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,선택,예,공통,거주지 주변 어린이집 찾아보기,,병원·기관 확인 필요,초안,,,
120,출산 준비,34~36주,임신 주차,34,36,주,병원·조리원·돌봄 서비스,어린이집,,할 일,알아보기,부부,희망 입소 시기와 입소대기 절차 알아보기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,선택,예,공통,희망 입소 시기와 입소대기 절차 알아보기,,병원·기관 확인 필요,초안,,,
121,출산 준비,37~40주,임신 주차,37,40,주,산모 건강·회복,만삭 변화,,증상·변화,알아보기,산모,배뭉침과 가진통,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,배뭉침과 가진통,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
122,출산 준비,37~40주,임신 주차,37,40,주,산모 건강·회복,만삭 변화,,증상·변화,알아보기,산모,골반 압박감,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,골반 압박감,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
123,출산 준비,37~40주,임신 주차,37,40,주,산모 건강·회복,만삭 변화,,증상·변화,알아보기,산모,분비물 변화,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,분비물 변화,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
124,출산 준비,37~40주,임신 주차,37,40,주,산모 건강·회복,만삭 변화,,증상·변화,알아보기,산모,수면 불편과 부종,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,수면 불편과 부종,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
125,출산 준비,37~40주,임신 주차,37,40,주,입원·출산 과정,출산징후,,가이드,알아보기,부부,규칙적인 진통을 기록하는 방법,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,규칙적인 진통을 기록하는 방법,,병원·기관 확인 필요,초안,,,
126,출산 준비,37~40주,임신 주차,37,40,주,입원·출산 과정,출산징후,,가이드,알아보기,부부,이슬과 출혈의 차이를 알아보기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,이슬과 출혈의 차이를 알아보기,,병원·기관 확인 필요,초안,,,
127,출산 준비,37~40주,임신 주차,37,40,주,입원·출산 과정,출산징후,,가이드,알아보기,부부,양수 의심 시 행동 순서 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,양수 의심 시 행동 순서 확인,,병원·기관 확인 필요,초안,,,
